TACC: Starting up job 1976186
TACC: Starting parallel tasks...
  /opt/apps/intel13/impi/4.1.0.030/intel64/bin/mpiexec.hydra -iface br0 -configfile /home1/02636/uswickra/.slurm/config_file.1976186.wpt9l1aA 
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20
params:  25769803776 20

Unidirectional and Bidirectional Communication Test

  Test            Processes  Message Size (bytes)   Bandwidth (MB)  Op time (us)
  Bidirectional          16                262144        16525.933       253.801
  Bidirectional          16                524288        18012.785       465.703
  Bidirectional          16               1048576        19724.946       850.558
  Bidirectional          16               2097152        19155.828      1751.657
  Bidirectional          16               4194304        19841.800      3382.196
  Bidirectional          16               8388608        19482.055      6889.300

  Bidirectional          32                    32          197.743         5.178
  Bidirectional          32                    64          443.237         4.621
  Bidirectional          32                   128          886.474         4.621
  Bidirectional          32                   256         1658.289         4.940
  Bidirectional          32                   512         2914.312         5.622
  Bidirectional          32                  1024         4278.921         7.658
  Bidirectional          32                  2048         6100.264        10.743
  Bidirectional          32                  4096        13454.621         9.742
  Bidirectional          32                  8192         6450.262        40.641
  Bidirectional          32                 16384        17640.167        29.721
  Bidirectional          32                 32768        27885.154        37.603
  Bidirectional          32                 65536        26365.605        79.541
  Bidirectional          32                131072        34687.645       120.916
  Bidirectional          32                262144        36333.229       230.880
  Bidirectional          32                524288        36518.389       459.418
  Bidirectional          32               1048576        35794.307       937.424
  Bidirectional          32               2097152        35610.541      1884.522
  Bidirectional          32               4194304        37678.299      3562.202
  Bidirectional          32               8388608        37379.482      7181.358

  Bidirectional          64                    32          448.795         4.563
  Bidirectional          64                    64          902.304         4.539
  Bidirectional          64                   128         1765.660         4.640
  Bidirectional          64                   256         3329.432         4.921
  Bidirectional          64                   512         6070.625         5.398
  Bidirectional          64                  1024         8622.268         7.601
  Bidirectional          64                  2048        12978.183        10.099
  Bidirectional          64                  4096        27584.336         9.503
  Bidirectional          64                  8192        28063.084        18.682
  Bidirectional          64                 16384        39359.643        26.641
  Bidirectional          64                 32768        43471.845        48.242
  Bidirectional          64                 65536        45061.952        93.079
  Bidirectional          64                131072        33407.748       251.098
  Bidirectional          64                262144        48099.594       348.802
  Bidirectional          64                524288        45666.116       734.777
  Bidirectional          64               1048576        49387.640      1358.819
  Bidirectional          64               2097152        49740.492      2698.359
  Bidirectional          64               4194304        47990.237      5593.543
  Bidirectional          64               8388608        48486.447     11072.598

Max Unidirectional Bandwith :       24901.27 for message size of 2097152 bytes
Max  Bidirectional Bandwith :       49740.49 for message size of 2097152 bytes

