TACC: Starting up job 1779644
TACC: Starting parallel tasks...
  /opt/apps/intel13/impi/4.1.0.030/intel64/bin/mpiexec.hydra -iface br0 -configfile /home1/02636/uswickra/.slurm/config_file.1779644.lMFvU0Dt 


Unidirectional and Bidirectional Communication Test

  Test            Processes  Message Size (bytes)   Bandwidth (MB)  Op time (us)
--------------------------------------------------------------------------------
  Bidirectional         128                  2048         8161.458        32.120
  Bidirectional         128                  4096        10423.887        50.297
  Bidirectional         128                  8192        13300.008        78.840
  Bidirectional         128                 16384        15887.748       131.998
  Bidirectional         128                 32768        16874.351       248.561
  Bidirectional         128                 65536        17633.448       475.721
  Bidirectional         128                131072        18935.468       886.021
  Bidirectional         128                262144        18061.005      1857.839
  Bidirectional         128                524288        17208.291      3899.798
  Bidirectional         128               1048576        17194.268      7805.958
  Bidirectional         128               2097152        17139.849     15661.483
  Bidirectional         128               4194304        16947.526     31678.424
  Bidirectional         128               8388608        16928.526     63427.958

  Bidirectional         256                    32          393.853        20.800
  Bidirectional         256                    64         1306.454        12.541
  Bidirectional         256                   128         2097.664        15.621
  Bidirectional         256                   256         3905.625        16.780
  Bidirectional         256                   512         5673.435        23.103
  Bidirectional         256                  1024         9671.988        27.103
  Bidirectional         256                  2048        14080.057        37.236
  Bidirectional         256                  4096        22745.379        46.101
  Bidirectional         256                  8192        23875.178        87.838
  Bidirectional         256                 16384        30660.159       136.800
  Bidirectional         256                 32768        32100.772       261.321
  Bidirectional         256                 65536        32344.820       518.699
  Bidirectional         256                131072        35396.397       947.962
  Bidirectional         256                262144        34680.892      1935.039
  Bidirectional         256                524288        32981.381      4069.500
  Bidirectional         256               1048576        33036.814      8125.343
  Bidirectional         256               2097152        33353.435     16096.420
  Bidirectional         256               4194304        33073.663     32465.162
  Bidirectional         256               8388608        33177.494     64727.120

  Bidirectional         320                    32          717.262        14.277
  Bidirectional         320                    64         1442.232        14.200
  Bidirectional         320                   128         2738.264        14.958
  Bidirectional         320                   256         4654.530        17.600
  Bidirectional         320                   512         6154.350        26.622
  Bidirectional         320                  1024        11669.125        28.081
  Bidirectional         320                  2048        18093.596        36.221
  Bidirectional         320                  4096        29282.828        44.761
  Bidirectional         320                  8192        31882.840        82.221
  Bidirectional         320                 16384        37561.889       139.580
  Bidirectional         320                 32768        40323.155       260.043
  Bidirectional         320                 65536        42170.911       497.298
  Bidirectional         320                131072        44121.654       950.623
  Bidirectional         320                262144        42856.761      1957.359
  Bidirectional         320                524288        41252.103      4066.997
  Bidirectional         320               1048576        41367.001      8111.401
  Bidirectional         320               2097152        40975.060     16377.978
  Bidirectional         320               4194304        41835.705     32082.100
  Bidirectional         320               8388608        41717.740     64345.636

Max Unidirectional Bandwith :       24320.17 for message size of  262144 bytes
Max  Bidirectional Bandwith :       44121.65 for message size of  131072 bytes

Test Parameters
---------------
Operations per measurement :       50
Process pair allocation    :    block


Rank id    0 (c429-703.stampede.tacc.utexas.edu) communicated with rank id  160 (c461-801.stampede.tacc.utexas.edu)
Rank id    1 (c429-703.stampede.tacc.utexas.edu) communicated with rank id  161 (c461-801.stampede.tacc.utexas.edu)
Rank id    2 (c429-703.stampede.tacc.utexas.edu) communicated with rank id  162 (c461-801.stampede.tacc.utexas.edu)
Rank id    3 (c429-703.stampede.tacc.utexas.edu) communicated with rank id  163 (c461-801.stampede.tacc.utexas.edu)
Rank id    4 (c429-703.stampede.tacc.utexas.edu) communicated with rank id  164 (c461-801.stampede.tacc.utexas.edu)
Rank id    5 (c429-703.stampede.tacc.utexas.edu) communicated with rank id  165 (c461-801.stampede.tacc.utexas.edu)
Rank id    6 (c429-703.stampede.tacc.utexas.edu) communicated with rank id  166 (c461-801.stampede.tacc.utexas.edu)
Rank id    7 (c429-703.stampede.tacc.utexas.edu) communicated with rank id  167 (c461-801.stampede.tacc.utexas.edu)
Rank id    8 (c429-703.stampede.tacc.utexas.edu) communicated with rank id  168 (c461-801.stampede.tacc.utexas.edu)
Rank id    9 (c429-703.stampede.tacc.utexas.edu) communicated with rank id  169 (c461-801.stampede.tacc.utexas.edu)
Rank id   10 (c429-703.stampede.tacc.utexas.edu) communicated with rank id  170 (c461-801.stampede.tacc.utexas.edu)
Rank id   11 (c429-703.stampede.tacc.utexas.edu) communicated with rank id  171 (c461-801.stampede.tacc.utexas.edu)
Rank id   12 (c429-703.stampede.tacc.utexas.edu) communicated with rank id  172 (c461-801.stampede.tacc.utexas.edu)
Rank id   13 (c429-703.stampede.tacc.utexas.edu) communicated with rank id  173 (c461-801.stampede.tacc.utexas.edu)
Rank id   14 (c429-703.stampede.tacc.utexas.edu) communicated with rank id  174 (c461-801.stampede.tacc.utexas.edu)
Rank id   15 (c429-703.stampede.tacc.utexas.edu) communicated with rank id  175 (c461-801.stampede.tacc.utexas.edu)
Rank id   16 (c429-703-mic0.stampede.tacc.utexas.edu) communicated with rank id  176 (c461-801-mic0.stampede.tacc.utexas.edu)
Rank id   17 (c429-703-mic0.stampede.tacc.utexas.edu) communicated with rank id  177 (c461-801-mic0.stampede.tacc.utexas.edu)
Rank id   18 (c429-703-mic0.stampede.tacc.utexas.edu) communicated with rank id  178 (c461-801-mic0.stampede.tacc.utexas.edu)
Rank id   19 (c429-703-mic0.stampede.tacc.utexas.edu) communicated with rank id  179 (c461-801-mic0.stampede.tacc.utexas.edu)
Rank id   20 (c449-804.stampede.tacc.utexas.edu) communicated with rank id  180 (c461-802.stampede.tacc.utexas.edu)
Rank id   21 (c449-804.stampede.tacc.utexas.edu) communicated with rank id  181 (c461-802.stampede.tacc.utexas.edu)
